D:\Anaconda\python.exe D:/home/zeewei/projects/77GRadar/model/cnn/cnn_train.py
0000 	 train_loss:4.372532367706299 	 test_loss: 4.334432601928711 	 test_min_loss: 4.334432601928711 	 difference: -0.03809976577758789 	 comp_acc:0 	 relative_acc:0
0010 	 train_loss:3.9238767623901367 	 test_loss: 3.8910369873046875 	 test_min_loss: 3.8910369873046875 	 difference: -0.03283977508544922 	 comp_acc:0 	 relative_acc:0
0020 	 train_loss:3.5235040187835693 	 test_loss: 3.4960334300994873 	 test_min_loss: 3.4960334300994873 	 difference: -0.02747058868408203 	 comp_acc:0 	 relative_acc:0
0030 	 train_loss:3.170837163925171 	 test_loss: 3.1481761932373047 	 test_min_loss: 3.1481761932373047 	 difference: -0.02266097068786621 	 comp_acc:0 	 relative_acc:0
0040 	 train_loss:2.8616702556610107 	 test_loss: 2.8431572914123535 	 test_min_loss: 2.8431572914123535 	 difference: -0.018512964248657227 	 comp_acc:0 	 relative_acc:0
0050 	 train_loss:2.590883493423462 	 test_loss: 2.5757791996002197 	 test_min_loss: 2.5757791996002197 	 difference: -0.015104293823242188 	 comp_acc:0 	 relative_acc:0
0060 	 train_loss:2.3530521392822266 	 test_loss: 2.3406877517700195 	 test_min_loss: 2.3406877517700195 	 difference: -0.012364387512207031 	 comp_acc:0 	 relative_acc:0
0070 	 train_loss:2.1432526111602783 	 test_loss: 2.1331136226654053 	 test_min_loss: 2.1331136226654053 	 difference: -0.010138988494873047 	 comp_acc:0 	 relative_acc:0
0080 	 train_loss:1.9570966958999634 	 test_loss: 1.948772668838501 	 test_min_loss: 1.948772668838501 	 difference: -0.008324027061462402 	 comp_acc:0 	 relative_acc:0
0090 	 train_loss:1.7906677722930908 	 test_loss: 1.7838959693908691 	 test_min_loss: 1.7838959693908691 	 difference: -0.00677180290222168 	 comp_acc:0 	 relative_acc:0
0100 	 train_loss:1.6412005424499512 	 test_loss: 1.63582181930542 	 test_min_loss: 1.63582181930542 	 difference: -0.00537872314453125 	 comp_acc:0 	 relative_acc:0
