D:\Anaconda\python.exe D:/home/zeewei/projects/77GRadar/model/cnn/cnn_train.py
0000 	 train_loss:0.02164631150662899 	 test_loss: 0.023415109142661095 	 test_min_loss: 0.023415109142661095 	 difference: 0.0017687976360321045 	 comp_acc:0 	 relative_acc:0
0010 	 train_loss:0.02162468060851097 	 test_loss: 0.023397112265229225 	 test_min_loss: 0.023397112265229225 	 difference: 0.001772431656718254 	 comp_acc:0 	 relative_acc:0
0020 	 train_loss:0.0215921588242054 	 test_loss: 0.02336907759308815 	 test_min_loss: 0.02336907759308815 	 difference: 0.0017769187688827515 	 comp_acc:0 	 relative_acc:0
0030 	 train_loss:0.021561790257692337 	 test_loss: 0.023346517235040665 	 test_min_loss: 0.023346517235040665 	 difference: 0.0017847269773483276 	 comp_acc:0 	 relative_acc:0
0040 	 train_loss:0.02153201401233673 	 test_loss: 0.023320147767663002 	 test_min_loss: 0.023320147767663002 	 difference: 0.001788133755326271 	 comp_acc:0 	 relative_acc:0
0050 	 train_loss:0.021500973030924797 	 test_loss: 0.02329164743423462 	 test_min_loss: 0.02329164743423462 	 difference: 0.001790674403309822 	 comp_acc:0 	 relative_acc:0
0060 	 train_loss:0.021468469873070717 	 test_loss: 0.02326371520757675 	 test_min_loss: 0.02326371520757675 	 difference: 0.0017952453345060349 	 comp_acc:0 	 relative_acc:0
0070 	 train_loss:0.02143465168774128 	 test_loss: 0.02323361299932003 	 test_min_loss: 0.02323361299932003 	 difference: 0.0017989613115787506 	 comp_acc:0 	 relative_acc:0
0080 	 train_loss:0.021399658173322678 	 test_loss: 0.023203028365969658 	 test_min_loss: 0.023203028365969658 	 difference: 0.0018033701926469803 	 comp_acc:0 	 relative_acc:0
0090 	 train_loss:0.021363629028201103 	 test_loss: 0.02317161299288273 	 test_min_loss: 0.02317161299288273 	 difference: 0.0018079839646816254 	 comp_acc:0 	 relative_acc:0
0100 	 train_loss:0.021326705813407898 	 test_loss: 0.02314027212560177 	 test_min_loss: 0.02314027212560177 	 difference: 0.0018135663121938705 	 comp_acc:0 	 relative_acc:0
0110 	 train_loss:0.021288855001330376 	 test_loss: 0.02310750260949135 	 test_min_loss: 0.02310750260949135 	 difference: 0.0018186476081609726 	 comp_acc:0 	 relative_acc:0
0120 	 train_loss:0.021250411868095398 	 test_loss: 0.023074038326740265 	 test_min_loss: 0.023074038326740265 	 difference: 0.001823626458644867 	 comp_acc:0 	 relative_acc:0
0130 	 train_loss:0.021211402490735054 	 test_loss: 0.023040229454636574 	 test_min_loss: 0.023040229454636574 	 difference: 0.0018288269639015198 	 comp_acc:0 	 relative_acc:0
0140 	 train_loss:0.02117193676531315 	 test_loss: 0.023006033152341843 	 test_min_loss: 0.023006033152341843 	 difference: 0.0018340963870286942 	 comp_acc:0 	 relative_acc:0
0150 	 train_loss:0.02113194204866886 	 test_loss: 0.022972267121076584 	 test_min_loss: 0.022972267121076584 	 difference: 0.0018403250724077225 	 comp_acc:0 	 relative_acc:0
0160 	 train_loss:0.021091490983963013 	 test_loss: 0.022937344387173653 	 test_min_loss: 0.022937344387173653 	 difference: 0.00184585340321064 	 comp_acc:0 	 relative_acc:0
0170 	 train_loss:0.02105061151087284 	 test_loss: 0.022901739925146103 	 test_min_loss: 0.022901739925146103 	 difference: 0.001851128414273262 	 comp_acc:0 	 relative_acc:0
0180 	 train_loss:0.021009260788559914 	 test_loss: 0.022866282612085342 	 test_min_loss: 0.022866282612085342 	 difference: 0.0018570218235254288 	 comp_acc:0 	 relative_acc:0
0190 	 train_loss:0.02096754126250744 	 test_loss: 0.022830035537481308 	 test_min_loss: 0.022830035537481308 	 difference: 0.0018624942749738693 	 comp_acc:0 	 relative_acc:0
0200 	 train_loss:0.020925503224134445 	 test_loss: 0.022792968899011612 	 test_min_loss: 0.022792968899011612 	 difference: 0.0018674656748771667 	 comp_acc:0 	 relative_acc:0
0210 	 train_loss:0.02088318020105362 	 test_loss: 0.022757714614272118 	 test_min_loss: 0.022757714614272118 	 difference: 0.0018745344132184982 	 comp_acc:0 	 relative_acc:0
0220 	 train_loss:0.020840443670749664 	 test_loss: 0.022721467539668083 	 test_min_loss: 0.022721467539668083 	 difference: 0.0018810238689184189 	 comp_acc:0 	 relative_acc:0
0230 	 train_loss:0.020797451958060265 	 test_loss: 0.022685082629323006 	 test_min_loss: 0.022685082629323006 	 difference: 0.001887630671262741 	 comp_acc:0 	 relative_acc:0
0240 	 train_loss:0.020754510536789894 	 test_loss: 0.022649334743618965 	 test_min_loss: 0.022649334743618965 	 difference: 0.001894824206829071 	 comp_acc:0 	 relative_acc:0
0250 	 train_loss:0.02071148157119751 	 test_loss: 0.02261311374604702 	 test_min_loss: 0.02261311374604702 	 difference: 0.0019016321748495102 	 comp_acc:0 	 relative_acc:0
0260 	 train_loss:0.020668240264058113 	 test_loss: 0.022575706243515015 	 test_min_loss: 0.022575706243515015 	 difference: 0.0019074659794569016 	 comp_acc:0 	 relative_acc:0
0270 	 train_loss:0.020624881610274315 	 test_loss: 0.02253872901201248 	 test_min_loss: 0.02253872901201248 	 difference: 0.0019138474017381668 	 comp_acc:0 	 relative_acc:0
0280 	 train_loss:0.020581569522619247 	 test_loss: 0.02250240556895733 	 test_min_loss: 0.02250240556895733 	 difference: 0.0019208360463380814 	 comp_acc:0 	 relative_acc:0
0290 	 train_loss:0.020538141950964928 	 test_loss: 0.022465959191322327 	 test_min_loss: 0.022465959191322327 	 difference: 0.001927817240357399 	 comp_acc:0 	 relative_acc:0
0300 	 train_loss:0.02049461007118225 	 test_loss: 0.022429417818784714 	 test_min_loss: 0.022429417818784714 	 difference: 0.0019348077476024628 	 comp_acc:0 	 relative_acc:0
0310 	 train_loss:0.02045089192688465 	 test_loss: 0.022393403574824333 	 test_min_loss: 0.022393403574824333 	 difference: 0.001942511647939682 	 comp_acc:0 	 relative_acc:0
0320 	 train_loss:0.02040715329349041 	 test_loss: 0.022356349974870682 	 test_min_loss: 0.022356349974870682 	 difference: 0.001949196681380272 	 comp_acc:0 	 relative_acc:0
0330 	 train_loss:0.020363474264740944 	 test_loss: 0.02231963537633419 	 test_min_loss: 0.02231963537633419 	 difference: 0.0019561611115932465 	 comp_acc:0 	 relative_acc:0
0340 	 train_loss:0.02031978778541088 	 test_loss: 0.022282902151346207 	 test_min_loss: 0.022282902151346207 	 difference: 0.0019631143659353256 	 comp_acc:0 	 relative_acc:0
0350 	 train_loss:0.02027600258588791 	 test_loss: 0.022245850414037704 	 test_min_loss: 0.022245850414037704 	 difference: 0.0019698478281497955 	 comp_acc:0 	 relative_acc:0
0360 	 train_loss:0.02023232728242874 	 test_loss: 0.02220901846885681 	 test_min_loss: 0.02220901846885681 	 difference: 0.00197669118642807 	 comp_acc:0 	 relative_acc:0
0370 	 train_loss:0.020188521593809128 	 test_loss: 0.022171741351485252 	 test_min_loss: 0.022171741351485252 	 difference: 0.0019832197576761246 	 comp_acc:0 	 relative_acc:0
0380 	 train_loss:0.020144646987318993 	 test_loss: 0.02213399112224579 	 test_min_loss: 0.02213399112224579 	 difference: 0.001989344134926796 	 comp_acc:0 	 relative_acc:0
0390 	 train_loss:0.02010069414973259 	 test_loss: 0.022097934037446976 	 test_min_loss: 0.022097934037446976 	 difference: 0.001997239887714386 	 comp_acc:0 	 relative_acc:0
0400 	 train_loss:0.020056860521435738 	 test_loss: 0.022062834352254868 	 test_min_loss: 0.022062834352254868 	 difference: 0.00200597383081913 	 comp_acc:0 	 relative_acc:0
0410 	 train_loss:0.020012980327010155 	 test_loss: 0.02202654629945755 	 test_min_loss: 0.02202654629945755 	 difference: 0.0020135659724473953 	 comp_acc:0 	 relative_acc:0
0420 	 train_loss:0.01996905915439129 	 test_loss: 0.021989846602082253 	 test_min_loss: 0.021989846602082253 	 difference: 0.0020207874476909637 	 comp_acc:0 	 relative_acc:0
0430 	 train_loss:0.019925042986869812 	 test_loss: 0.021953577175736427 	 test_min_loss: 0.021953577175736427 	 difference: 0.0020285341888666153 	 comp_acc:0 	 relative_acc:0
0440 	 train_loss:0.019880857318639755 	 test_loss: 0.02191748470067978 	 test_min_loss: 0.02191748470067978 	 difference: 0.002036627382040024 	 comp_acc:0 	 relative_acc:0
0450 	 train_loss:0.01983671821653843 	 test_loss: 0.021880676969885826 	 test_min_loss: 0.021880676969885826 	 difference: 0.002043958753347397 	 comp_acc:0 	 relative_acc:0
0460 	 train_loss:0.019792459905147552 	 test_loss: 0.02184394933283329 	 test_min_loss: 0.02184394933283329 	 difference: 0.0020514894276857376 	 comp_acc:0 	 relative_acc:0
0470 	 train_loss:0.019748317077755928 	 test_loss: 0.02180783450603485 	 test_min_loss: 0.02180783450603485 	 difference: 0.002059517428278923 	 comp_acc:0 	 relative_acc:0
0480 	 train_loss:0.01970432698726654 	 test_loss: 0.021772360429167747 	 test_min_loss: 0.021772360429167747 	 difference: 0.002068033441901207 	 comp_acc:0 	 relative_acc:0
0490 	 train_loss:0.01966053433716297 	 test_loss: 0.021736452355980873 	 test_min_loss: 0.021736452355980873 	 difference: 0.0020759180188179016 	 comp_acc:0 	 relative_acc:0
0500 	 train_loss:0.019616881385445595 	 test_loss: 0.02170049212872982 	 test_min_loss: 0.02170049212872982 	 difference: 0.0020836107432842255 	 comp_acc:0 	 relative_acc:0
0510 	 train_loss:0.019573425874114037 	 test_loss: 0.02166423760354519 	 test_min_loss: 0.02166423760354519 	 difference: 0.0020908117294311523 	 comp_acc:0 	 relative_acc:0
0520 	 train_loss:0.019530031830072403 	 test_loss: 0.021629659458994865 	 test_min_loss: 0.021629659458994865 	 difference: 0.0020996276289224625 	 comp_acc:0 	 relative_acc:0
0530 	 train_loss:0.019486669450998306 	 test_loss: 0.021593935787677765 	 test_min_loss: 0.021593935787677765 	 difference: 0.0021072663366794586 	 comp_acc:0 	 relative_acc:0
0540 	 train_loss:0.019443411380052567 	 test_loss: 0.02155899628996849 	 test_min_loss: 0.02155899628996849 	 difference: 0.002115584909915924 	 comp_acc:0 	 relative_acc:0
0550 	 train_loss:0.019400211051106453 	 test_loss: 0.02152344025671482 	 test_min_loss: 0.02152344025671482 	 difference: 0.002123229205608368 	 comp_acc:0 	 relative_acc:0
0560 	 train_loss:0.019357286393642426 	 test_loss: 0.021487286314368248 	 test_min_loss: 0.021487286314368248 	 difference: 0.0021299999207258224 	 comp_acc:0 	 relative_acc:0
0570 	 train_loss:0.019314225763082504 	 test_loss: 0.021451523527503014 	 test_min_loss: 0.021451523527503014 	 difference: 0.0021372977644205093 	 comp_acc:0 	 relative_acc:0
0580 	 train_loss:0.01927177980542183 	 test_loss: 0.021415337920188904 	 test_min_loss: 0.021415337920188904 	 difference: 0.0021435581147670746 	 comp_acc:0 	 relative_acc:0
0590 	 train_loss:0.019229674711823463 	 test_loss: 0.021381471306085587 	 test_min_loss: 0.021381471306085587 	 difference: 0.002151796594262123 	 comp_acc:0 	 relative_acc:0
0600 	 train_loss:0.019187765195965767 	 test_loss: 0.021347515285015106 	 test_min_loss: 0.021347515285015106 	 difference: 0.0021597500890493393 	 comp_acc:0 	 relative_acc:0
