D:\Anaconda\python.exe D:/home/zeewei/projects/77GRadar/model/rnn/rnn_train.py
0000 	 train_loss:0.27029065787792206 	 test_loss: 0.19178520143032074 	 test_min_loss: 0.19178520143032074 	 difference: -0.07850545644760132 	  com_ac0 	 relative_ac0
0005 	 train_loss:0.18460610779848965 	 test_loss: 0.18493467569351196 	 test_min_loss: 0.18493467569351196 	 difference: 0.0003285678950223081 	  com_ac0 	 relative_ac0
0010 	 train_loss:0.18430544435977936 	 test_loss: 0.18456511199474335 	 test_min_loss: 0.18456511199474335 	 difference: 0.00025966763496398926 	  com_ac0 	 relative_ac0
0015 	 train_loss:0.16858543997461145 	 test_loss: 0.16885821521282196 	 test_min_loss: 0.16885821521282196 	 difference: 0.00027277523821050975 	  com_ac0 	 relative_ac0
0020 	 train_loss:0.15490194477818228 	 test_loss: 0.15548215806484222 	 test_min_loss: 0.15548215806484222 	 difference: 0.0005802132866599419 	  com_ac0 	 relative_ac0
0025 	 train_loss:0.17790827696973627 	 test_loss: 0.16555818915367126 	 test_min_loss: 0.15548215806484222 	 difference: -0.012350087816065003 	  com_ac0 	 relative_ac0
0030 	 train_loss:0.16091171177950772 	 test_loss: 0.16019849479198456 	 test_min_loss: 0.15548215806484222 	 difference: -0.0007132169875231631 	  com_ac0 	 relative_ac0
0035 	 train_loss:0.153602502562783 	 test_loss: 0.15961770713329315 	 test_min_loss: 0.15548215806484222 	 difference: 0.006015204570510163 	  com_ac0 	 relative_ac0
0040 	 train_loss:0.14571817490187558 	 test_loss: 0.15014062821865082 	 test_min_loss: 0.15014062821865082 	 difference: 0.004422453316775238 	  com_ac0 	 relative_ac0
0045 	 train_loss:0.15586003932085904 	 test_loss: 0.15581806004047394 	 test_min_loss: 0.15014062821865082 	 difference: -4.197928038510157e-05 	  com_ac0 	 relative_ac0
0050 	 train_loss:0.1507573967630213 	 test_loss: 0.15060444176197052 	 test_min_loss: 0.15014062821865082 	 difference: -0.00015295500105078075 	  com_ac0 	 relative_ac0
0055 	 train_loss:0.15317382595755838 	 test_loss: 0.15087567269802094 	 test_min_loss: 0.15014062821865082 	 difference: -0.0022981532595374443 	  com_ac0 	 relative_ac0
0060 	 train_loss:0.14961626312949441 	 test_loss: 0.1478244960308075 	 test_min_loss: 0.1478244960308075 	 difference: -0.0017917670986869194 	  com_ac0 	 relative_ac0
0065 	 train_loss:0.17321626300161536 	 test_loss: 0.16435305774211884 	 test_min_loss: 0.1478244960308075 	 difference: -0.00886320525949652 	  com_ac0 	 relative_ac0
0070 	 train_loss:0.14945200898430563 	 test_loss: 0.15076343715190887 	 test_min_loss: 0.1478244960308075 	 difference: 0.0013114281676032402 	  com_ac0 	 relative_ac0
0075 	 train_loss:0.1462410634214228 	 test_loss: 0.14520922303199768 	 test_min_loss: 0.14520922303199768 	 difference: -0.0010318403894251094 	  com_ac0 	 relative_ac0
0080 	 train_loss:0.14823156459765 	 test_loss: 0.14707578718662262 	 test_min_loss: 0.14520922303199768 	 difference: -0.0011557774110273755 	  com_ac0 	 relative_ac0
0085 	 train_loss:0.14912756058302792 	 test_loss: 0.14771245419979095 	 test_min_loss: 0.14520922303199768 	 difference: -0.0014151063832369692 	  com_ac0 	 relative_ac0
0090 	 train_loss:0.1448526314713738 	 test_loss: 0.14466436207294464 	 test_min_loss: 0.14466436207294464 	 difference: -0.00018826939842916945 	  com_ac0 	 relative_ac0
0095 	 train_loss:0.1459490873596885 	 test_loss: 0.14707940816879272 	 test_min_loss: 0.14466436207294464 	 difference: 0.0011303208091042183 	  com_ac0 	 relative_ac0
0100 	 train_loss:0.1666030450300737 	 test_loss: 0.1595171093940735 	 test_min_loss: 0.14466436207294464 	 difference: -0.007085935636000212 	  com_ac0 	 relative_ac0
0105 	 train_loss:0.1537510034712878 	 test_loss: 0.15114237368106842 	 test_min_loss: 0.14466436207294464 	 difference: -0.002608629790219391 	  com_ac0 	 relative_ac0
0110 	 train_loss:0.1535781269723719 	 test_loss: 0.15074734389781952 	 test_min_loss: 0.14466436207294464 	 difference: -0.0028307830745523677 	  com_ac0 	 relative_ac0
0115 	 train_loss:0.14984256841919638 	 test_loss: 0.1465955227613449 	 test_min_loss: 0.14466436207294464 	 difference: -0.0032470456578514717 	  com_ac0 	 relative_ac0
0120 	 train_loss:0.14655187319625507 	 test_loss: 0.14531628787517548 	 test_min_loss: 0.14466436207294464 	 difference: -0.0012355853210795908 	  com_ac0 	 relative_ac0
0125 	 train_loss:0.14207898351279172 	 test_loss: 0.1480766236782074 	 test_min_loss: 0.14466436207294464 	 difference: 0.00599764016541568 	  com_ac0 	 relative_ac0
0130 	 train_loss:0.18558245490897785 	 test_loss: 0.1840979903936386 	 test_min_loss: 0.14466436207294464 	 difference: -0.0014844645153392344 	  com_ac0 	 relative_ac0
0135 	 train_loss:0.16709343953566116 	 test_loss: 0.16184838116168976 	 test_min_loss: 0.14466436207294464 	 difference: -0.005245058373971406 	  com_ac0 	 relative_ac0
0140 	 train_loss:0.16638373922217975 	 test_loss: 0.160647913813591 	 test_min_loss: 0.14466436207294464 	 difference: -0.005735825408588746 	  com_ac0 	 relative_ac0
0145 	 train_loss:0.1621382710608569 	 test_loss: 0.15868817269802094 	 test_min_loss: 0.14466436207294464 	 difference: -0.0034500983628359683 	  com_ac0 	 relative_ac0
0150 	 train_loss:0.16036889227953824 	 test_loss: 0.15958081185817719 	 test_min_loss: 0.14466436207294464 	 difference: -0.0007880804213610537 	  com_ac0 	 relative_ac0
0155 	 train_loss:0.1652295941656286 	 test_loss: 0.16092628240585327 	 test_min_loss: 0.14466436207294464 	 difference: -0.00430331175977533 	  com_ac0 	 relative_ac0
0160 	 train_loss:0.15391330827366223 	 test_loss: 0.15161006152629852 	 test_min_loss: 0.14466436207294464 	 difference: -0.0023032467473637075 	  com_ac0 	 relative_ac0
0165 	 train_loss:0.152840718626976 	 test_loss: 0.14966797828674316 	 test_min_loss: 0.14466436207294464 	 difference: -0.003172740340232849 	  com_ac0 	 relative_ac0
0170 	 train_loss:0.1492027301679958 	 test_loss: 0.14822033047676086 	 test_min_loss: 0.14466436207294464 	 difference: -0.0009823996912349253 	  com_ac0 	 relative_ac0
0175 	 train_loss:0.14957175877961246 	 test_loss: 0.14896705746650696 	 test_min_loss: 0.14466436207294464 	 difference: -0.000604701313105499 	  com_ac0 	 relative_ac0
0180 	 train_loss:0.14623742482878946 	 test_loss: 0.14463622868061066 	 test_min_loss: 0.14463622868061066 	 difference: -0.0016011961481788017 	  com_ac0 	 relative_ac0
0185 	 train_loss:0.14456922086802396 	 test_loss: 0.14078587293624878 	 test_min_loss: 0.14078587293624878 	 difference: -0.0037833479317751773 	  com_ac0 	 relative_ac0
0190 	 train_loss:0.15878724510019476 	 test_loss: 0.15727348625659943 	 test_min_loss: 0.14078587293624878 	 difference: -0.0015137588435953364 	  com_ac0 	 relative_ac0
0195 	 train_loss:0.18552667850797827 	 test_loss: 0.18433940410614014 	 test_min_loss: 0.14078587293624878 	 difference: -0.0011872744018381343 	  com_ac0 	 relative_ac0
0200 	 train_loss:0.18464346500960263 	 test_loss: 0.1842353194952011 	 test_min_loss: 0.14078587293624878 	 difference: -0.00040814551440152 	  com_ac0 	 relative_ac0
0205 	 train_loss:0.18465056744488803 	 test_loss: 0.18393497169017792 	 test_min_loss: 0.14078587293624878 	 difference: -0.0007155957547101133 	  com_ac0 	 relative_ac0
0210 	 train_loss:0.1847129464149475 	 test_loss: 0.1838221400976181 	 test_min_loss: 0.14078587293624878 	 difference: -0.0008908063173294067 	  com_ac0 	 relative_ac0
0215 	 train_loss:0.18467053906484085 	 test_loss: 0.1840825080871582 	 test_min_loss: 0.14078587293624878 	 difference: -0.0005880309776826464 	  com_ac0 	 relative_ac0
0220 	 train_loss:0.18479160558093677 	 test_loss: 0.18401820957660675 	 test_min_loss: 0.14078587293624878 	 difference: -0.0007733960043300181 	  com_ac0 	 relative_ac0
0225 	 train_loss:0.18474087796427988 	 test_loss: 0.18391194939613342 	 test_min_loss: 0.14078587293624878 	 difference: -0.0008289285681464531 	  com_ac0 	 relative_ac0
0230 	 train_loss:0.1847500584342263 	 test_loss: 0.18420998752117157 	 test_min_loss: 0.14078587293624878 	 difference: -0.0005400709130547188 	  com_ac0 	 relative_ac0
0235 	 train_loss:0.18458349867300552 	 test_loss: 0.18396106362342834 	 test_min_loss: 0.14078587293624878 	 difference: -0.0006224350495771802 	  com_ac0 	 relative_ac0
0240 	 train_loss:0.18478971584276718 	 test_loss: 0.1840200126171112 	 test_min_loss: 0.14078587293624878 	 difference: -0.0007697032256559766 	  com_ac0 	 relative_ac0
0245 	 train_loss:0.18480108271945606 	 test_loss: 0.1840759515762329 	 test_min_loss: 0.14078587293624878 	 difference: -0.0007251311432231455 	  com_ac0 	 relative_ac0
0250 	 train_loss:0.18473063002933154 	 test_loss: 0.18418103456497192 	 test_min_loss: 0.14078587293624878 	 difference: -0.0005495954643596201 	  com_ac0 	 relative_ac0
0255 	 train_loss:0.18458817357366736 	 test_loss: 0.1840021014213562 	 test_min_loss: 0.14078587293624878 	 difference: -0.0005860721523111567 	  com_ac0 	 relative_ac0
0260 	 train_loss:0.1847266202623194 	 test_loss: 0.18378561735153198 	 test_min_loss: 0.14078587293624878 	 difference: -0.000941002910787414 	  com_ac0 	 relative_ac0
0265 	 train_loss:0.1846601041880521 	 test_loss: 0.18402576446533203 	 test_min_loss: 0.14078587293624878 	 difference: -0.000634339722720062 	  com_ac0 	 relative_ac0
0270 	 train_loss:0.18464392559094864 	 test_loss: 0.18409572541713715 	 test_min_loss: 0.14078587293624878 	 difference: -0.0005482001738114917 	  com_ac0 	 relative_ac0
0275 	 train_loss:0.18479849262671036 	 test_loss: 0.18388831615447998 	 test_min_loss: 0.14078587293624878 	 difference: -0.0009101764722303785 	  com_ac0 	 relative_ac0
0280 	 train_loss:0.18478292904116891 	 test_loss: 0.1840592324733734 	 test_min_loss: 0.14078587293624878 	 difference: -0.000723696567795501 	  com_ac0 	 relative_ac0
0285 	 train_loss:0.18480250510302457 	 test_loss: 0.18405938148498535 	 test_min_loss: 0.14078587293624878 	 difference: -0.0007431236180392153 	  com_ac0 	 relative_ac0
0290 	 train_loss:0.1845368350094015 	 test_loss: 0.1839633733034134 	 test_min_loss: 0.14078587293624878 	 difference: -0.0005734617059880986 	  com_ac0 	 relative_ac0
0295 	 train_loss:0.18464555659077383 	 test_loss: 0.18406271934509277 	 test_min_loss: 0.14078587293624878 	 difference: -0.0005828372456810615 	  com_ac0 	 relative_ac0
0300 	 train_loss:0.1846614723855799 	 test_loss: 0.18414315581321716 	 test_min_loss: 0.14078587293624878 	 difference: -0.0005183165723627314 	  com_ac0 	 relative_ac0
0305 	 train_loss:0.18482443690299988 	 test_loss: 0.18432237207889557 	 test_min_loss: 0.14078587293624878 	 difference: -0.0005020648241043091 	  com_ac0 	 relative_ac0
0310 	 train_loss:0.18469306284731085 	 test_loss: 0.18405842781066895 	 test_min_loss: 0.14078587293624878 	 difference: -0.0006346350366419062 	  com_ac0 	 relative_ac0
0315 	 train_loss:0.18469531292265112 	 test_loss: 0.18434686958789825 	 test_min_loss: 0.14078587293624878 	 difference: -0.00034844333475286815 	  com_ac0 	 relative_ac0
0320 	 train_loss:0.1845561604608189 	 test_loss: 0.18389609456062317 	 test_min_loss: 0.14078587293624878 	 difference: -0.0006600659001957387 	  com_ac0 	 relative_ac0
0325 	 train_loss:0.18458711423657156 	 test_loss: 0.1841902732849121 	 test_min_loss: 0.14078587293624878 	 difference: -0.0003968409516594551 	  com_ac0 	 relative_ac0
0330 	 train_loss:0.18475411696867508 	 test_loss: 0.18391726911067963 	 test_min_loss: 0.14078587293624878 	 difference: -0.0008368478579954541 	  com_ac0 	 relative_ac0
0335 	 train_loss:0.18464516238732773 	 test_loss: 0.18418852984905243 	 test_min_loss: 0.14078587293624878 	 difference: -0.0004566325382752978 	  com_ac0 	 relative_ac0
0340 	 train_loss:0.18480806188149887 	 test_loss: 0.18407617509365082 	 test_min_loss: 0.14078587293624878 	 difference: -0.0007318867878480517 	  com_ac0 	 relative_ac0
0345 	 train_loss:0.1846871944991025 	 test_loss: 0.18390604853630066 	 test_min_loss: 0.14078587293624878 	 difference: -0.0007811459628018491 	  com_ac0 	 relative_ac0
